key,en,es,fr,ar
postal_centers.title,Postal Centers,Centros Postales,Centres Postaux,المراكز البريدية
postal_centers.description,Configure postal centers and RFID readers for network diagnostics,Configurar centros postales y lectores RFID para diagnóstico de red,Configurer les centres postaux et les lecteurs RFID pour le diagnostic réseau,تكوين المراكز البريدية وقارئات RFID لتشخيص الشبكة
postal_centers.create_center,Create Postal Center,Crear Centro Postal,Créer un Centre Postal,إنشاء مركز بريدي
postal_centers.edit_center,Edit Postal Center,Editar Centro Postal,Modifier le Centre Postal,تعديل المركز البريدي
postal_centers.confirm_delete_center,Are you sure you want to delete this postal center? All associated readers will also be deleted.,¿Está seguro de que desea eliminar este centro postal? Todos los lectores asociados también serán eliminados.,Êtes-vous sûr de vouloir supprimer ce centre postal ? Tous les lecteurs associés seront également supprimés.,هل أنت متأكد من حذف هذا المركز البريدي؟ سيتم حذف جميع القارئات المرتبطة أيضًا.
postal_centers.no_centers_found,No postal centers found,No se encontraron centros postales,Aucun centre postal trouvé,لم يتم العثور على مراكز بريدية
postal_centers.total_centers,Total Centers,Centros Totales,Centres Totaux,إجمالي المراكز
postal_centers.active_centers,Active Centers,Centros Activos,Centres Actifs,المراكز النشطة
postal_centers.code,Code,Código,Code,الرمز
postal_centers.name,Name,Nombre,Nom,الاسم
postal_centers.description,Description,Descripción,Description,الوصف
postal_centers.opening_hour,Opening Hour,Hora de Apertura,Heure d'Ouverture,ساعة الافتتاح
postal_centers.cutoff_time,Cutoff Time,Hora de Corte,Heure de Coupure,وقت القطع
postal_centers.calculation_mode,Calculation Mode,Modo de Cálculo,Mode de Calcul,وضع الحساب
postal_centers.mixed_reader_gap_minutes,Mixed Reader Gap (minutes),Intervalo de Lector Mixto (minutos),Intervalle Lecteur Mixte (minutes),فجوة القارئ المختلط (دقائق)
postal_centers.mixed_reader_gap_help,Time gap to separate entry/exit events in Mixed readers (leave empty to inherit from account),Intervalo de tiempo para separar eventos de entrada/salida en lectores Mixtos (dejar vacío para heredar de la cuenta),Intervalle de temps pour séparer les événements d'entrée/sortie dans les lecteurs mixtes (laisser vide pour hériter du compte),فجوة زمنية لفصل أحداث الدخول/الخروج في القارئات المختلطة (اتركه فارغًا للوراثة من الحساب)
postal_centers.is_active,Active,Activo,Actif,نشط
postal_centers.inherit_from_account,Inherit from Account,Heredar de la Cuenta,Hériter du Compte,الوراثة من الحساب
postal_centers.natural_days,Natural Days,Días Naturales,Jours Naturels,أيام طبيعية
postal_centers.working_days,Working Days,Días Laborables,Jours Ouvrables,أيام العمل
postal_centers.hours,Hours,Horas,Heures,ساعات
postal_centers.mode,Mode,Modo,Mode,الوضع
postal_centers.status,Status,Estado,Statut,الحالة
postal_centers.search_placeholder,Search postal centers or readers...,Buscar centros postales o lectores...,Rechercher des centres postaux ou des lecteurs...,البحث عن مراكز بريدية أو قارئات...
readers.reader,Reader,Lector,Lecteur,قارئ
readers.readers,Readers,Lectores,Lecteurs,القارئات
readers.total_readers,Total Readers,Lectores Totales,Lecteurs Totaux,إجمالي القارئات
readers.active_readers,Active Readers,Lectores Activos,Lecteurs Actifs,القارئات النشطة
readers.entry_readers,Entry Readers,Lectores de Entrada,Lecteurs d'Entrée,قارئات الدخول
readers.exit_readers,Exit Readers,Lectores de Salida,Lecteurs de Sortie,قارئات الخروج
readers.mixed_readers,Mixed Readers,Lectores Mixtos,Lecteurs Mixtes,القارئات المختلطة
readers.add_reader,Add Reader,Agregar Lector,Ajouter un Lecteur,إضافة قارئ
readers.add_first_reader,Add First Reader,Agregar Primer Lector,Ajouter le Premier Lecteur,إضافة القارئ الأول
readers.create_reader,Create Reader,Crear Lector,Créer un Lecteur,إنشاء قارئ
readers.edit_reader,Edit Reader,Editar Lector,Modifier le Lecteur,تعديل القارئ
readers.confirm_delete_reader,Are you sure you want to delete this reader?,¿Está seguro de que desea eliminar este lector?,Êtes-vous sûr de vouloir supprimer ce lecteur ?,هل أنت متأكد من حذف هذا القارئ؟
readers.no_readers_found,No readers found for this postal center,No se encontraron lectores para este centro postal,Aucun lecteur trouvé pour ce centre postal,لم يتم العثور على قارئات لهذا المركز البريدي
readers.reader_id,Reader ID,ID del Lector,ID du Lecteur,معرف القارئ
readers.reader_id_help,Must match the ReaderId in EPCIS events,Debe coincidir con el ReaderId en eventos EPCIS,Doit correspondre au ReaderId dans les événements EPCIS,يجب أن يتطابق مع ReaderId في أحداث EPCIS
readers.name,Name,Nombre,Nom,الاسم
readers.description,Description,Descripción,Description,الوصف
readers.type,Type,Tipo,Type,النوع
readers.reader_type,Reader Type,Tipo de Lector,Type de Lecteur,نوع القارئ
readers.type_entry,Entry,Entrada,Entrée,دخول
readers.type_exit,Exit,Salida,Sortie,خروج
readers.type_mixed,Mixed,Mixto,Mixte,مختلط
readers.type_entry_help,Uses MIN(timestamp) - earliest reading,Usa MIN(timestamp) - lectura más temprana,Utilise MIN(timestamp) - lecture la plus ancienne,يستخدم MIN(timestamp) - أقدم قراءة
readers.type_exit_help,Uses MAX(timestamp) - latest reading,Usa MAX(timestamp) - lectura más reciente,Utilise MAX(timestamp) - lecture la plus récente,يستخدم MAX(timestamp) - أحدث قراءة
readers.type_mixed_help,Separates entry/exit based on time gap,Separa entrada/salida según intervalo de tiempo,Sépare entrée/sortie selon l'intervalle de temps,يفصل الدخول/الخروج بناءً على الفجوة الزمنية
readers.mixed_reader_gap_minutes,Gap Threshold (minutes),Umbral de Intervalo (minutos),Seuil d'Intervalle (minutes),عتبة الفجوة (دقائق)
readers.mixed_reader_gap_help,Override gap threshold for this reader (leave empty to inherit),Sobrescribir umbral de intervalo para este lector (dejar vacío para heredar),Remplacer le seuil d'intervalle pour ce lecteur (laisser vide pour hériter),تجاوز عتبة الفجوة لهذا القارئ (اتركه فارغًا للوراثة)
readers.is_active,Active,Activo,Actif,نشط
readers.gap,Gap,Intervalo,Intervalle,الفجوة
common.minutes,minutes,minutos,minutes,دقائق
common.all,All,Todos,Tous,الكل
common.active_only,Active Only,Solo Activos,Actifs Seulement,النشطة فقط
common.expand_all,Expand All,Expandir Todo,Tout Développer,توسيع الكل
common.collapse_all,Collapse All,Contraer Todo,Tout Réduire,طي الكل
